SMILES,Relation,Value
CC(C)c1ccc(CN[C@@H]2CCCC[C@@H]2NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)cc1,=,6.443697499232713
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@H]1CCCC[C@H]1NCc1ccc(C(F)(F)F)cc1,=,6.3979400086720375
O=C(O)C(C1CCN(C(=O)/C=C/c2cc(F)c(F)c(F)c2)CC1)N1CCC(c2c[nH]c3ccc(F)cc23)CC1,=,7.301029995663981
O=C(O)C(C1CCN(C(=O)Nc2ccc(C(F)(F)F)cc2)CC1)N1CCC(c2c[nH]c3ccccc23)CC1,=,6.920818753952375
CN(C)C1CCC(NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)C(NCc2ccc(Cl)cc2)C1,=,7.795880017344075
O=C(O)c1cc2ccc(C(F)(F)F)cc2n1Cc1ccc(Cl)c(Cl)c1,=,5.978810700930062
COc1ccc2c(c1)cc(C(=O)O)n2Cc1ccc(Cl)c(Cl)c1,=,6.3872161432802645
c1ccc(CNCc2ccc(CN(Cc3nc4ccccc4[nH]3)[C@H]3CCCc4cccnc43)cc2)nc1,<,5.0
Cc1csc(C(=O)NNC(=O)CN2CCCC2CNCCC(c2ccccc2)c2ccccc2)c1,=,4.585026652029182
C=CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,<,6.0
COC[C@H]1COCC[C@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3cccc(C(F)(F)F)c3)CC2)(C(C)C)C1,=,7.3325470471100465
CCN(CC)CCCC(NC(=O)CCOc1cc(-c2cc(Cl)cc(Cl)c2)nn1-c1ccc2ccccc2c1)C(C)C,=,8.221993538576491
CCN(CC)C(C)CCCNC(=O)CCc1cc(-c2cc(Cl)cc(Cl)c2)nn1-c1ccc2ccccc2c1,=,6.967018806902632
CCN(C(=O)OCc1ccccc1)C1CCN(CCC(C)(CN2C(=O)N[C@H](Cc3c[nH]c4ccccc34)C2=O)c2ccccc2)CC1,<,6.0
C[C@H]1CC=C(C(=O)O)[C@](C)(c2ccccc2)C1,=,5.011574829993696
C[C@H]1CC=C(C(=O)NS(=O)(=O)C(F)(F)F)[C@](C)(c2ccc(Cl)c(Cl)c2)C1,=,5.180127178049454
Cc1cc([C@]2(C)C[C@@H](C)CC=C2C(=O)O)ccc1Cl,=,7.161150909262744
Cc1cc([C@]2(C)C[C@@H](C)CC=C2C(=O)O)ccc1F,<,5.0
Cc1cc(C)cc([C@]2(C)C[C@@H](C)CC=C2C(=O)O)c1,=,6.521433504406157
Cc1ccc(C)c([C@]2(C)C[C@@H](C)CC=C2C(=O)O)c1,=,6.259637310505756
CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3cncc(C(F)(F)F)n3)CC2)(C(C)C)C1,=,7.801342913045578
CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3cc(C(F)(F)F)ncn3)CC2)(C(C)C)C1,=,7.749579997691106
CO[C@@H]1COCC[C@@H]1N[C@@H]1CC[C@@](C(=O)N2CCN(c3nc(C(F)(F)F)cs3)CC2)(C(C)C)C1,=,7.552841968657781
CCOC[C@]1(C(=O)N2CCN(c3cc(C(F)(F)F)ccn3)CC2)CC[C@@H](N[C@H]2CCOC[C@H]2OC)C1,=,7.468521082957745
CS(=O)(=O)c1ccc(C(=O)N[C@@H]2CCCC[C@@H]2NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)cc1,=,7.060480747381382
O=C(CNC(=O)c1cccc(C(F)(F)F)c1)N[C@H]1CCCC[C@@H]1NCc1ccc(Cl)cc1,=,6.013228265733755
Cc1cc(C)c(CN[C@H]2CCCC[C@@H]2NC(=O)CNC(=O)c2cccc(C(F)(F)F)c2)c(C)c1,=,5.924453038607469
CC1COCC(C)C1N[C@@H]1CC[C@@](C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)(C(C)C)C1,=,6.638007891242187
CC(C)[C@]1(C(=O)NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)CC[C@@H](NC2CCOCC2C(F)(F)F)C1,=,8.221993538576491
CCCCN1C(=O)C(CC2CCCCC2)NC(=O)C12CCN(Cc1ccc(OC)cc1)CC2.Cl,<,4.522878745280337
CC(C)N(C)[C@@H]1CC[C@H](N2CC[C@H](NC(=O)c3cccc(C(C)(C)C)c3)C2=O)[C@H](CS(C)(=O)=O)C1,=,8.920818753952375
CC(C)N(C)[C@@H]1CC[C@H](N2CC[C@H](NC(=O)c3cccc(C(F)(F)F)c3)C2=O)[C@H](CS(=O)(=O)c2ccccc2)C1,=,9.0
CC(C)N(C)[C@@H]1CC[C@H](N2CC[C@H](NC(=O)c3cccc(C(C)(C)C)n3)C2=O)[C@H](CS(C)(=O)=O)C1,=,9.154901959985743
CSc1ccc(S(=O)(=O)C[C@@H]2C[C@H](N(C)C(C)C)CC[C@@H]2NC(=O)Cc2nc3cccc(C(F)(F)F)c3[nH]2)cc1,=,7.958607314841775
CSc1ccc(S(=O)(=O)C[C@@H]2C[C@H](N(C)C(C)C)CC[C@@H]2NC(=O)Cc2nc3ccc(C(F)(F)F)cc3[nH]2)cc1,=,7.275724130399211
O=C(N[C@@H]1C[C@H]2CCC[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1)C1CCOCC1,<,4.6020599913279625
CCC(CC)N[C@@H]1C[C@H]2CCC[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,=,5.481486060122113
COC1COCCC1N[C@@H]1C[C@H]2CN(C(=O)NCc3ccccc3)C[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,=,7.2441251443275085
COC1COCCC1N[C@@H]1C[C@H]2CN(C(N)=O)C[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,=,7.1938200260161125
CSc1ccc(S(=O)(=O)C[C@@H]2CCCC[C@@H]2NC(=O)CNC(=O)c2cc(C(F)(F)F)ccc2NC(=O)N2CCC2)cc1,=,8.236572006437063
CSc1ccc(S(=O)(=O)C[C@@H]2C[C@H](N(C)C(C)C)CC[C@@H]2NC(=O)CNC(=O)c2cc(C(F)(F)F)ccc2NC(=O)OC(C)(C)C)cc1,=,7.903089986991944
