SMILES,Relation,Value
O=C1C(Cl)=C(Cl)C(=O)c2ncccc21,<,5.0
O=C(OCc1ccccc1)C1=C(O)O[C@H](CO)C1=O,<,3.6020599913279625
O=C(O)c1ccc(/C=C2\SC(=S)N(c3cccc(C(=O)O)c3)C2=O)cc1,<,3.6989700043360187
CNS(=O)(=O)c1cccc(C(=O)NC2CCSc3ccccc32)c1,<,4.0
CC/C=C1\SC(=S)N(c2cccc(C(=O)O)c2)C1=O,<,3.6989700043360187
Cc1cccc(-n2c(N)c(C(=O)N3CCN(C)CC3)sc2=S)c1,=,5.478861916295964
CCc1sc(NS(=O)(=O)/C=C/c2ccc(S(C)(=O)=O)cc2)nc1-c1ccccc1,<,4.0
CCCCC/C=C/C/C=C/C/C=C/CCCCCOC(=O)C1=C(O)O[C@H](CO)C1=O,=,4.634512015109101
CCCCCCCCCCCCCCNC(=O)C1=C(O)O[C@H](CO)C1=O,=,4.621602099051862
O=C(OC1CCCCC1)C1=C(O)O[C@H](CO)C1=O,<,3.6020599913279625
COc1ccc(-c2nc(C(=O)Nc3ccc[nH]c3=O)cs2)cc1,<,4.0
O=C(Nc1ccc(NC(=O)C(c2ccccc2)S(=O)(=O)O)cc1)C(=O)Nc1ccc(-c2ccccc2)cc1,<,4.301029995663981
O=C(Nc1ccc(I)cc1)C(=O)Nc1ccc(NC(=O)C(c2ccccc2)S(=O)(=O)O)cc1,<,4.301029995663981
COC(=O)c1ccc(/C=C/S(=O)(=O)Nc2nc(-c3ccccc3)c(-c3ccccc3)s2)cc1,=,4.698970004336019
O=S(=O)(/C=C/c1ccc(-c2ccccc2)cc1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,=,4.468521082957745
N#Cc1ccc(/C=C/S(=O)(=O)Nc2nc(-c3ccccc3)c(-c3ccccc3)s2)cc1,=,4.494850021680094
O=S(=O)(/C=C/c1ccc2ccccc2c1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,=,4.522878745280337
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,<,4.0
OCc1ccc(O)cn1,<,4.0
CC(C)C[C@H](NC(=O)c1ccc2c(C#N)cc(C(=O)O)n2c1)C(=O)NC(CC(=O)O)c1ccccc1,<,4.0
CC(C)c1ccc(NC(=O)C(=O)Nc2ccc(NC(=O)C(c3ccccc3)S(=O)(=O)O)cc2)cc1,<,4.301029995663981
O=C(COc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2C#Cc2cccc(Cl)c2)cc1)NC1CC1,=,4.853871964321762
Cc1cccc(CN/C(CCCCc2ccc(OCc3cccc(Cl)c3)cc2)=C2\C(=O)OC(CO)C2=O)c1,=,5.113509274827518
COc1ccc(Sc2cccc(CN(C)c3cc(C(=O)O)nc4cc(Cl)cc(Cl)c34)c2)cc1,=,4.294992040666664
NS(=O)(=O)c1ccc(NC(S)=NC2CC2)cc1,=,4.903089986991944
S=C(NC1CCCCC1)c1cn(CCOc2ccccc2)c2ccccc12,<,4.0
CC(C)(Oc1ccc2sc3ccccc3c2c1)C(=O)O,=,4.430626090384954
CN(C)S(=O)(=O)c1cc(C(=O)NC2CCSc3ccccc32)ccc1Cl,<,4.0
CCCCCCCCCCCCCCCC(NCc1cccc(N(C)C)c1)=C1C(=O)OC(CO)C1=O,=,5.289882634888183
CCCCCCCCCCCCCCCC(NCc1ccc(O)cc1)=C1C(=O)OC(CO)C1=O,=,5.0030507515046185
CCCc1sc(NS(=O)(=O)/C=C/c2ccccc2Cl)nc1-c1ccc(Cl)cc1,=,4.494850021680094
CCCc1sc(NS(=O)(=O)/C=C/c2ccc(F)c(F)c2)nc1-c1ccc(-c2ccccc2)cc1,=,4.657577319177793
O=C1C=CC(=O)c2ncccc21,<,5.0
O=C(O)c1cccc(N2C(=O)/C(=C/c3ccc(F)cc3)SC2=S)c1,<,4.301029995663981
O=S(=O)(O)OC(COc1nc2ccccc2s1)Cc1ccccc1,<,4.0
Cc1cc(C(=O)O)ccc1N1C(=O)/C(=C/c2ccccc2)SC1=S,<,3.6989700043360187
CCCCCCCCCCCCCCCC(NCc1cccc(OC)c1)=C1C(=O)OC(CO)C1=O,=,5.257274868695301
Cc1ccc(/C=C2\SC(=S)N(c3cccc(C(=O)O)c3)C2=O)cc1,=,3.910094888560602
CC(C)=CCCC(C)CCOC(=O)C1=C(O)O[C@H](CO)C1=O,<,3.6020599913279625
CC/C=C/C/C=C/C/C=C/CCCCCCCCOC(=O)C1=C(O)O[C@H](CO)C1=O,=,4.403402904373539
Cn1c(-c2cccc(NC(=O)C(=O)Nc3ccc(-c4ccsc4)cc3)c2)c(I)c2cc(C(=O)O)c(O)cc21,=,5.494850021680094
CCCCCCCCCCCCCCCC(NCc1ccccc1N(C)C)=C1C(=O)OC(CO)C1=O,=,5.284832642151542
CCCCC(Oc1cc(O)c(C(=O)O)cc1C#Cc1ccccc1OC(F)(F)F)C(=O)NC1CCCCC1,=,5.221848749616356
CCCCCCCCCCCCCCCC(NCc1cccc(O)c1)=C1C(=O)OC(CO)C1=O,=,4.954677021213342
CCCCCCCCCCCCCCCC(NCc1ccc(N(C)C)cc1)=C1C(=O)OC(CO)C1=O,=,4.920818753952375
