SMILES,Relation,Value
O=C(c1ccc(F)c(-c2ccc3c(c2)CCCN3C(=O)c2c(F)cccc2Cl)c1)N1CCCC1,=,5.721246399047171
CNC(=O)c1cccc(-c2ccc(N(CC(F)(F)F)S(=O)(=O)c3cccc4c3ccn4C)cc2)c1,=,5.494850021680094
NC(=O)c1ccc(Cl)c(-c2ccc(N(CC(F)(F)F)S(=O)(=O)c3cccc(Cl)c3)cc2)c1,=,5.376750709602099
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2C2CCC2)cc1N1CC2CC2C1,=,8.2839966563652
Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,<,5.0
CC(C)CN(Cc1ccc(-c2ccc(C(N)=O)cc2)s1)S(=O)(=O)Cc1ccccc1,=,6.795880017344075
CC(C)CN(Cc1ccc(-c2ccc(NS(C)(=O)=O)cc2)cc1)S(=O)(=O)Cc1ccccc1,=,7.337242168318426
CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4ccc(OC)cc4)ccc1c23,=,3.7584535194034516
NC(=O)c1ccc(NC(=O)c2cccc(COc3ccc(Cl)cc3)c2)cc1,=,3.773993305270821
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(=O)NCCO)nn2C(C)C)cc1N1CC2CC2C1,=,7.7447274948966935
[2H]C([2H])([2H])N(C(=O)c1c(F)cccc1Cl)c1ccc(-c2cc(NC(C)=O)nn2CC(C)(C)C)cc1N1CC2CC2C1,=,7.823908740944319
Cc1c(C(F)(F)F)nc(-c2ccc(Cl)o2)n1-c1c(Cl)ccc(N2CC(CC(=O)O)C2)c1Cl,=,8.154901959985743
CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4C(=O)c4ccccc4)ccc1c23,=,3.806041021980813
CCn1c2c(c3cc(C(=O)NCc4ccc(S(=O)(=O)CC)cc4)ccc31)CCC2,=,5.87942606879415
CCCn1c2ccccc2c2cc(C(=O)NCc3ccc(S(=O)(=O)CC)cc3)ccc21,=,6.860120913598763
CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3C)cc1,=,6.247183568811729
CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccccc3OC(F)(F)F)c(C(=O)O)c2)cc1,=,5.100000128334196
