SMILES,Relation,Value
COc1cccnc1-c1ccc(Cn2c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c3cc(OCc4ccc(C)cn4)ccc32)cc1,=,5.835647144215563
Cc1ccc(COc2ccc(-c3onc(C(=O)O)c3-c3ccc(Cl)cc3)cc2)cc1,=,5.853871964321762
N#Cc1cccc(COc2ccc(-c3onc(C(=O)O)c3-c3ccc(Cl)cc3)cc2)c1,=,5.3872161432802645
CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3cccnc3)cc12,=,7.229147988357856
CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3cnc4ccccc4c3)cc12,=,7.318758762624412
CC(C)Cc1ccc(C(C)c2nc3ccccc3n2Cc2ccccc2O)cc1,=,5.346787486224656
CC(=O)Oc1ccccc1Cn1c(C(C)c2ccc(CC(C)C)cc2)nc2ccccc21,=,6.6020599913279625
CC(C)Cc1ccc(C(C)c2nc3ccccc3n2Cc2ccncc2)cc1,=,5.709965388637482
COc1ccc2c(c1)nc(C(C)c1ccc(CC(C)C)cc1)n2Cc1ccccc1Cl,=,6.920818753952375
CC(C)Cc1ccc(C(C)c2nc3cc(Cl)ccc3n2Cc2ccccc2)cc1,=,6.080921907623926
COc1ccc(Cn2c(C(C)c3ccc(CC(C)C)cc3)nc3ccccc32)c(OC)c1OC,=,5.026872146400302
COC(=O)Cn1c(C(C)c2ccc(CC(C)C)cc2)nc2ccccc21,<,5.0
Cc1nc2ccc(COc3ccc4c(c3)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n4Cc3ccc(Cl)cc3)cc2s1,=,7.3979400086720375
Nc1ncc(-c2ccc(C3(c4noc(-c5ccc(O)cc5)n4)CCC3)cn2)cn1,=,8.537602002101044
COCCNc1cnc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)cn1,=,8.494850021680094
Nc1ncc(-c2ccc(C3(c4noc(-c5cccnc5C(F)(F)F)n4)CCC3)cn2)cn1,=,7.853871964321762
CN(CCO)c1ccc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)cn1,=,8.366531544420413
CC(COc1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1)c1ccccn1,=,8.096910013008056
CS(=O)(=O)c1ccc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)cn1,=,7.2076083105017466
Cc1cc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)n(C)n1,=,7.552841968657781
CC(C)NC(=O)Cn1cc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)cn1,=,7.102372908709558
COC(=O)[C@@H]1CN(c2ccc(-c3nc(C4(c5ccc(-c6cnc(N)nc6)nc5)CCC4)no3)cn2)CCN1,=,8.431798275933005
Nc1ncc(-c2ccc(C3(c4noc(-c5ccc(N6CCC[C@@H]6CO)nc5)n4)CCC3)cn2)cn1,=,8.508638306165727
Nc1ncc(-c2ccc(C3(c4noc(-c5ccncc5)n4)CCOCC3)nc2)cn1,=,6.013228265733755
N#CCn1cc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)cn1,=,7.958607314841775
Nc1ncc(-c2ccc(C3(c4noc(-c5ccncn5)n4)CCC3)cc2)cn1,=,6.086186147616283
Nc1ncc(-c2ccc(C3(c4noc(-c5ccc[nH]c5=O)n4)CCC3)cc2)cn1,<,5.301029995663981
Nc1ncc(-c2ccc(C3(c4noc(-c5cnn(CC(=O)O)c5)n4)CCC3)cc2)cn1,<,5.301029995663981
CC(C)C(c1ccc(-c2cnc(N)nc2)cc1)c1noc(-c2cnn(C)c2)n1,=,6.721246399047171
Cn1cc(-c2nc([C@](C)(c3ccc(-c4cnc(N)nc4)cc3)C3CC3)no2)cn1,=,6.455931955649724
Cn1cc(-c2nc([C@@](C)(c3ccc(-c4cnc(N)nc4)cc3)C3CCC3)no2)cn1,=,7.040958607678906
CCC(C)c1ccc(C(C)c2nc3cc(C#N)ccc3n2Cc2ccccc2Cl)cc1,=,6.154901959985743
CC(C)Cc1ccc(C(C)c2nc3cc(CC(=O)O)ccc3n2Cc2ccccc2Cl)cc1,=,6.346787486224656
O=C(O)c1noc(-c2ccc(OCc3cccc(F)c3)cc2)c1-c1ccc(Cl)cc1,=,5.886056647693163
O=C(O)c1noc(-c2ccc(OCc3ccccc3C(F)(F)F)cc2)c1-c1ccc(Cl)cc1,=,6.113509274827518
O=C(O)c1noc(-c2ccc(OCc3nc4ccccc4s3)cc2)c1-c1ccc(Cl)cc1,=,6.619788758288394
CC(C)c1csc(COc2ccc3c(c2)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n3Cc2ccc(Cl)cc2)n1,=,7.886056647693163
CC(C)Cc1ccc(C(C)c2nc3ccccc3n2Cc2ccc(Cl)cc2)cc1,=,5.318758762624412
CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4cc(F)ccc4n3)cc12,=,8.698970004336019
Cc1cccc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)c1,=,8.05551732784983
O=C(O)CSC(CCCc1ccccc1)(CCc1ccccc1)c1ccc(OCc2ccc3ccccc3n2)cc1,=,8.397940008672037
CC(C)(O)Cn1cc(-c2nc([C@@](C)(c3ccc(-c4cnc(N)nc4)cc3)C3CC3)no2)cn1,=,7.698970004336019
NC(=O)CNc1ccc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)cn1,=,8.301029995663981
Nc1ncc(-c2ccc(C3(c4noc(-c5ccc(N6CCC[C@H]6C(=O)O)nc5)n4)CCC3)cn2)cn1,=,7.366531544420414
COC(=O)[C@@H]1CCCN1c1ccc(-c2nc(C3(c4ccc(-c5cnc(N)nc5)nc4)CCC3)no2)cn1,=,8.229147988357855
Cn1cnnc1-c1nc(C2(c3ccc(-c4cnc(N)nc4)nc3)CCC2)no1,=,6.958607314841775
